Cidade,UF,Latitude,Longitude
São Sebastião do Tocantins,TO,-5.241001734506803,-48.33174509503016
São Valério,TO,-11.803846027695823,-48.16975719063919
Silvanópolis,TO,-11.130715113946398,-48.00496885210918
Sítio Novo do Tocantins,TO,-5.635108583632798,-47.684094467189084
Sucupira,TO,-12.113212591201137,-48.83435882963288
Taguatinga,TO,-12.387247129157569,-46.565677796955
Taipas do Tocantins,TO,-12.139651864519545,-46.993720617791745
Talismã,TO,-12.682091742882985,-49.04843493905856
Palmas,TO,-10.220124521865616,-48.15209579471437
Tocantínia,TO,-9.603270048239368,-48.14092103086682
Tocantinópolis,TO,-6.256826606241373,-47.538071430927474
Tupirama,TO,-8.938543135661837,-48.259587471277456
Tupiratins,TO,-8.356533694480133,-48.21068812789995
Wanderlândia,TO,-6.910021404822856,-48.00198238239395
Xambioá,TO,-6.545397211314153,-48.45103600039107
Açailândia,MA,-4.7857505064748675,-47.33241346169191
Afonso Cunha,MA,-4.2147827064232715,-43.297430394865515
Água Doce do Maranhão,MA,-2.9464152168540405,-42.16619277393442
Alcântara,MA,-2.379284389453444,-44.539864580878636
Aldeias Altas,MA,-4.502727783879471,-43.383462102629316
Altamira do Maranhão,MA,-4.167018425473406,-45.50281284255162
Alto Alegre do Maranhão,MA,-4.210623243968202,-44.39583835914557
Alto Alegre do Pindaré,MA,-3.87022482167147,-46.001663309329594
Alto Parnaíba,MA,-9.507890515125895,-46.21333350585034
Amapá do Maranhão,MA,-1.6730717232841403,-45.94804444200476
Amarante do Maranhão,MA,-5.2782194199565176,-46.58197222609057
Anajatuba,MA,-3.2556228131509037,-44.5992282607026
Anapurus,MA,-3.543876167043687,-43.10775379263457
Apicum-Açu,MA,-1.5353358679548086,-45.08737538217473
Araguanã,MA,-3.079087279611366,-45.78733038281157
Araioses,MA,-2.9722235814596107,-42.01697558293032
Arame,MA,-5.027645919686723,-45.945943022804464
Arari,MA,-3.5333528118986166,-44.727378979234935
Axixá,MA,-2.8438698607004964,-44.098649268280816
Bacabal,MA,-4.1710835559110055,-44.76187432402717
Bacabeira,MA,-2.936336623469269,-44.35796825673885
Bacuri,MA,-1.6832734206937243,-45.162548894034074
Bacurituba,MA,-2.69959681739026,-44.69516612966273
Balsas,MA,-8.23644471194036,-46.342401184793495
Barão de Grajaú,MA,-6.592840777012823,-43.188049601004394
